id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
50904,aplace/antwerp: cosy suite - fashion district,234077,Karin,,Historisch Centrum,51.21825,4.39901,Hotel room,153,1,1,2015-05-06,0.01,4,258
67776,Beautiful Big House Center Antwerp,334804,Ann,,Sint-Andries,51.21467,4.39225,Entire home/apt,50,7,9,2013-07-11,0.11,2,353
116134,Spacious apartment nearby Mas,586942,Paul,,Eilandje,51.23051,4.40593,Entire home/apt,150,2,109,2020-02-16,1.24,1,308
218916,Apartment with terrace in trendy Zurenborg,915664,Laura,,Zurenborg,51.20633,4.42942,Entire home/apt,70,1,22,2013-05-01,0.20,1,215
224333,Large stylish room in 1930s house + garden,1167377,Geert,,Deurne Zuid West,51.19772,4.45853,Private room,16,14,3,2021-05-13,0.03,2,345
224682,APARTMENT ROSCAM - OLD CENTRE ANTWERP,1263933,Kristien,,Sint-Andries,51.21722,4.3979,Entire home/apt,70,2,344,2019-12-22,3.32,1,80
345959,Marleen's home in Antwerp city,1754396,Marleen,,Markgrave,51.19935,4.40154,Entire home/apt,51,2,58,2021-07-18,0.56,2,294
363155,1-bedroom apartment with court yard,1835458,Roos,,Amandus - Atheneum,51.22119,4.41951,Entire home/apt,68,6,21,2017-07-24,0.22,1,340
366252,ROOM IN FAMILY HOME near C. Station,1820186,Fronk & Lieve,,Borgerhout Intra Muros Noord,51.21601,4.43432,Private room,35,1,104,2018-02-06,0.97,2,358
522693,Ahome Awayfromhome,2562294,Ahome,,Historisch Centrum,51.22001,4.39813,Entire home/apt,282,2,2,2017-10-27,0.03,1,365
603545,*Perfect* for a Longer Stay | Trendy | City center,2987880,Serge,,Harmonie,51.20753,4.40589,Entire home/apt,150,2,23,2019-05-23,0.29,1,350
636664,"sunny rooftop apartment, sleeps 2-5",462975,Els,,Borgerhout Intra Muros Zuid,51.21618,4.43037,Entire home/apt,100,2,82,2019-12-24,0.77,1,326
639013,The chill place in Antwerp 1,3189018,Cathy,,Borgerhout Intra Muros Noord,51.21748,4.4456,Private room,85,2,34,2015-04-19,0.33,3,0
685049,Stylish decorated  room in 'art nouveau house',3493319,Glenn,,Oud - Berchem,51.19589,4.41443,Private room,65,2,5,2020-02-24,0.06,1,364
706181,Warm and homey studio in Antwerp Boho w/ breakfast,3628857,Peter Jan,,Borgerhout Intra Muros Zuid,51.21125,4.43519,Private room,50,2,10,2015-06-06,0.13,1,365
723033,Spacy family studio in Antwerp City,3734348,Sylvia,,Stadspark,51.20955,4.41481,Entire home/apt,63,2,237,2018-10-10,2.23,1,75
772842,Stay in a designers place & donate,4050173,Daisy,,Linkeroever,51.21775,4.38434,Entire home/apt,82,7,66,2013-12-07,0.63,1,358
778043,cosy & beautiful apartment Antwerp,1735092,Marc & Elizabeth,,Stadspark,51.20399,4.41249,Entire home/apt,68,2,63,2018-07-22,0.61,1,364
789555,+++blancoooJOZEFIEN+++ roofterrace,3185214,Annemie,,Centraal Station,51.2117,4.42665,Entire home/apt,93,7,48,2019-04-21,0.46,4,100
791792,Duplex in the New South across of NEW PARK,3424990,Tim,,Zuid,51.20639,4.38707,Entire home/apt,50,3,3,2014-01-04,0.07,1,321
813969,150 m² loft (terrace & river view),4277604,Sarah,,Sint-Andries,51.21347,4.39125,Entire home/apt,215,1,75,2018-10-31,1.28,2,292
842077,4 Cosy rooms near Central Station,4396703,Son,,Amandus - Atheneum,51.2215,4.42606,Private room,40,1,401,2019-07-26,3.85,5,343
866701,4 Cosy rooms near Central Station,4396703,Son,,Amandus - Atheneum,51.2215,4.42606,Private room,40,1,286,2019-05-04,2.77,5,340
890384,+++ blancoooHOME +++,3185214,Annemie,,Centraal Station,51.21198,4.4269,Entire home/apt,150,7,0,,,4,341
891355,"BorzeB&B, sleeping in the heart of Antwerp!",1366391,Micheline,,Universiteitsbuurt,51.22043,4.40562,Private room,85,2,79,2019-12-15,0.82,1,352
891884,aplace/antwerp: amazing suite & square view,234077,Karin,,Historisch Centrum,51.21825,4.39901,Hotel room,155,1,2,2021-05-14,0.09,4,247
891907,aplace/antwerp: stunning flat with square view,234077,Karin,,Historisch Centrum,51.21825,4.39901,Entire home/apt,186,3,5,2020-02-09,0.06,4,337
959200,NEST,4715596,Caroline & Klaas,,Borgerhout Intra Muros Noord,51.21596,4.43764,Entire home/apt,55,2,58,2019-06-15,0.63,3,71
961296,Great Classic House in Antwerp (4-10 persons),3189018,Cathy,,Borgerhout Intra Muros Noord,51.21531,4.44498,Entire home/apt,317,1,48,2017-10-15,0.75,3,173
991824,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,235,2020-08-02,2.36,2,345
